	15510*29031.743*1
4199	15259*52720*001|15332*56952*001
4702	15353*49041*001
893	14582*71988*001|14900*36900*001|14963*27798*001|15114*54000*001|15124*41910*001|15400*45252*001
1182	14625*32400*001|14653*35600*001|14812*30704*001|14824*26709*001|15036*39240*001|15078*56949*001|15312*62244*001
1685	14741*65304*001|14770*35835*001|14868*48600*001|15188*56392*001
2188	14863*64200*001|14958*43386*001|14967*62438*001|15202*40788*001
2691	14972*45984*001|15110*61200*001|15305*43920*001
3194	15059*52362*001|15095*30213*001
3697	15176*36340*001|15335*36666*001|15343*47275*001
391	14461*37962*001|14552*71995*001|14555*65310*001|14859*38850*001|14957*52912*001|15035*41910*001|15058*65943*001|15336*48361*001|15348*67500*001|15368*27900*001
4200	15259*71984*001
4703	15353*49924*001
894	14583*28542*001|14867*68100*001|14889*63486*001|14921*65613*001|14948*34726*001|15087*26871*001|15131*67740*001|15275*55472*001
1183	14625*43200*001|14963*45118*001|14975*60706*001|15024*26871*001|15037*56889*001|15192*48150*001
1686	14741*68646*001|14771*71988*001|14872*66150*001|14913*59232*001|14939*44343*001|14958*33860*001|14966*50314*001|14989*45840*001|15091*28542*001|15209*57242*001|15218*58974*001|15335*61362*001
2189	14863*70050*001|14934*67740*001|14993*67856*001|14999*37584*001|15029*36491*001|15073*60291*001
2692	14972*53778*001|15023*50265*001|15036*57960*001|15087*65304*001|15145*48597*001|15350*48600*001
3195	15059*61416*001
3698	15176*40796*001|15339*44163*001|15345*71116*001
392	14461*46470*001|14721*29880*001|14848*53871*001|14956*61572*001|15023*41910*001
4201	15260*30704*001|15284*57960*001
4704	15353*54339*001
895	14583*35226*001|14656*53800*001|14827*40290*001|14958*34726*001|14985*41712*001
1184	14625*54000*001|14642*40800*001|14710*39240*001|14751*41910*001|14813*27952*001|14938*67532*001|14971*52912*001|15050*26709*001|15260*52720*001|15335*56070*001
1687	14742*32400*001|14826*41799*001|14993*45840*001|15173*34112*001|15356*51300*001|15358*65700*001
2190	14864*58350*001|15010*63633*001|15089*35226*001|15138*53676*001|15155*40089*001
2693	14972*54644*001|15033*50265*001|15088*49395*001|15189*58108*001|15323*59598*001|15340*63567*001
3196	15060*29727*001|15256*51200*001
3699	15176*45252*001|15346*52200*001
393	14461*50724*001|14703*27540*001|14831*35763*001|14831*40290*001|14922*33708*001|14953*41654*001|15071*41330*001|15233*29100*001|15330*44604*001|15340*50337*001
4202	15260*36208*001|15298*72000*001|15332*45927*001
4705	15353*63169*001
896	14583*41910*001|14663*52293*001|14705*48600*001|14822*38960*001|15203*41654*001|15335*41958*001|15380*61962*001
1185	14625*57600*001|14666*33000*001|14722*47480*001|14966*45984*001|15131*46470*001|15362*33300*001
1688	14742*36000*001|14829*52362*001|14834*65943*001|14943*40796*001|14964*71964*001|14991*27952*001|15336*60597*001
2191	14865*34950*001|15044*28218*001|15299*47480*001
2694	14972*67634*001|15059*58398*001|15187*31884*001|15216*32850*001
3197	15060*31236*001|15185*69760*001|15277*55472*001
3700	15176*58620*001|15232*61812*001|15281*43920*001|15361*36679*001|15365*26083*001
394	14461*63486*001|14497*72000*001|14671*72000*001|14830*58398*001|14839*44817*001|15004*60650*001|15342*38700*001|15362*64800*001
4203	15260*44464*001|15360*36900*001
4706	15353*66701*001
897	14583*45252*001|14650*56400*001|14762*45252*001|14809*38960*001|14894*59232*001|14944*29454*001|15019*63633*001|15058*59907*001|15093*28542*001|15276*48600*001|15353*62286*001|15371*49041*001
1186	14625*72000*001|14654*66800*001|14683*58620*001|14751*71988*001|14828*39820*001|14921*40089*001|14924*40089*001|14978*49306*001|14979*36208*001
1689	14742*43200*001|14820*63225*001|14972*63304*001|15170*58620*001|15183*67532*001|15193*54644*001|15208*38800*001|15333*68418*001|15385*58620*001
2192	14865*38850*001|14895*50724*001|14922*67740*001|15021*39717*001|15082*33555*001|15108*46800*001
2695	14972*69366*001|15011*26813*001|15035*66975*001|15046*68880*001
3198	15060*41799*001|15311*25641*001
3701	15176*60848*001|15189*65902*001|15344*31500*001
395	14461*67740*001|14660*39978*001|14727*51936*001|14907*50724*001|14964*35592*001|15014*30213*001|15209*26066*001|15320*44604*001
4204	15260*47216*001|15375*31884*001
4707	15353*69350*001
898	14583*51936*001|14613*39600*001|14689*68646*001|14692*38568*001|14711*34112*001|14714*57960*001|14827*49344*001|14964*65902*001|15030*36897*001|15037*53871*001|15102*45252*001
1187	14626*32400*001|14841*67598*001|15016*41910*001
1690	14742*46800*001|14773*71988*001|14844*38781*001|14975*51180*001|15052*50853*001|15248*68100*001
2193	14865*44700*001|15011*59073*001|15153*27234*001|15349*31381*001
2696	14973*26066*001|14987*52720*001|15016*58620*001|15073*26871*001|15197*32128*001|15208*66000*001|15305*32220*001
3199	15060*52362*001|15094*38568*001|15154*40089*001|15172*69660*001|15226*33336*001|15249*36900*001
3702	15176*71988*001|15353*41977*001
396	14461*71994*001|14538*48600*001|14670*53800*001|14737*68400*001|14847*26709*001|14934*71994*001|14951*38190*001|15018*42943*001|15046*34560*001|15055*38781*001|15301*56392*001|15384*39600*001
4205	15261*27800*001|15293*43920*001
4708	15354*33300*001|15393*31884*001
899	14583*55278*001|14855*37404*001|15313*57834*001|15336*51420*001|15340*35784*001
1188	14626*36000*001|14670*51200*001|14689*48594*001|14906*67740*001|14925*29656*001|15021*55847*001|15243*57744*001
1691	14742*64800*001|15088*26813*001|15119*61200*001|15314*34020*001|15338*35343*001|15351*31381*001
2194	14865*58350*001|14978*46470*001|15075*65525*001|15092*41330*001|15269*30400*001|15339*58275*001
2697	14973*26932*001|15020*71988*001
3200	15061*39240*001
3703	15177*32220*001|15249*31050*001|15326*32192*001
397	14462*29454*001|14672*41910*001|14765*27428*001|14836*43308*001|14953*57242*001|14987*70608*001|15051*56400*001|15204*61750*001
4206	15261*35600*001
4709	15354*37800*001
900	14583*68646*001|14700*35226*001|14726*41580*001|14770*65613*001|14878*33000*001|15003*63728*001|15063*32745*001|15083*48594*001|15344*60300*001
1189	14626*39600*001|14660*47367*001|15016*66975*001|15019*56949*001|15140*59232*001|15145*57105*001|15196*37950*001
1692	14743*31884*001|15011*71977*001|15327*40194*001
2195	14865*66150*001|14998*56396*001|15048*53871*001|15265*33000*001
2698	14973*44252*001|14988*66322*001|15267*69400*001|15331*34377*001|15339*57834*001
3201	15061*47040*001|15081*56949*001|15166*60848*001|15181*34560*001|15218*28664*001|15278*72000*001|15312*41517*001|15346*41400*001
3704	15177*43920*001
398	14462*33708*001|14599*45252*001|14643*66800*001|14655*57219*001|14785*27327*001|14836*71979*001|14878*48600*001|14976*49924*001
4207	15261*56400*001|15354*70200*001
4710	15354*44100*001
901	14583*71988*001|14630*32400*001|14930*45252*001|15145*31581*001|15147*29454*001|15312*48573*001|15335*50337*001
1190	14626*46800*001|14729*71988*001|14872*34950*001|14952*60706*001|15054*49344*001
1693	14743*45252*001|14840*55380*001|15005*56848*001|15027*51936*001|15088*47782*001|15093*26871*001|15185*54164*001|15361*57871*001
2196	14866*27234*001|14952*66768*001|15008*45252*001|15217*30396*001|15325*65772*001|15371*61403*001
2699	14973*52912*001|15319*49014*001
3202	15061*48600*001|15197*30396*001
3705	15177*57960*001|15189*51180*001|15304*38568*001
399	14462*37962*001|14566*65310*001|14751*45252*001|14790*54164*001|14802*33975*001|14946*49041*001|14957*29530*001|14961*26966*001|15025*52621*001|15337*67095*001
4208	15262*27952*001|15307*34560*001
4711	15354*56700*001
902	14584*45252*001|14713*67532*001|14825*29727*001|14853*55380*001|14991*62352*001|15207*61572*001|15331*28696*001
1191	14626*50400*001|15234*37404*001|15328*67095*001|15356*54000*001
1694	14743*61962*001|14817*42750*001|15031*41910*001|15056*57960*001|15311*65772*001
2197	14866*33336*001|14957*37324*001|15015*28426*001|15080*31884*001|15107*71988*001|15171*58620*001|15324*29610*001
2700	14973*54644*001|15043*38781*001|15212*59200*001|15238*52500*001|15297*67532*001|15338*62685*001
3203	15061*51720*001
3706	15177*64980*001|15189*34726*001
400	14462*42216*001|14535*48600*001|14663*64608*001|14828*67598*001|14885*67740*001|15144*37962*001|15193*63304*001|15331*49235*001
4209	15262*44464*001
4712	15354*62100*001
903	14584*48594*001|14724*55620*001|14776*51936*001|14794*63728*001|14839*59907*001|14965*48582*001|14965*71098*001|14973*50314*001|15061*37680*001|15135*48597*001|15145*54978*001|15215*26066*001|15322*53865*001
1192	14626*57600*001|14924*61359*001|15284*43920*001
1695	14744*32400*001|15025*38104*001|15064*29727*001|15117*65304*001|15147*35835*001|15202*70232*001|15300*67320*001|15344*54000*001|15357*56988*001|15372*66600*001
2198	14866*43506*001|14960*55510*001|15000*53560*001|15206*50314*001
2701	14973*57242*001|15091*45252*001
3204	15062*29727*001|15352*27900*001
3707	15177*67320*001|15329*65772*001
401	14462*46470*001|14649*37515*001|15104*48594*001|15196*49000*001|15198*46850*001|15331*36562*001
4210	15262*58224*001|15352*27000*001
4713	15354*63000*001
904	14584*55278*001|14789*40089*001|14847*59907*001|14945*60848*001|14946*60520*001|15131*71994*001|15242*66150*001
1193	14626*72000*001|14642*64200*001|14646*61600*001|14673*68646*001|14815*60976*001|15001*54096*001|15220*67914*001|15239*71982*001|15324*49014*001
1696	14744*43200*001|14949*58974*001|14984*32290*001|15046*37680*001
2199	14866*51642*001|14924*50724*001|14994*33708*001|15032*51008*001|15164*27428*001|15281*27540*001|15294*65304*001
2702	14973*58974*001|15146*44343*001|15205*62438*001|15232*39438*001|18339*52882*1
3205	15062*43308*001|15291*48600*001|15323*25641*001|15335*46809*001|15338*53424*001
3708	15178*54164*001|15313*25641*001|15324*52542*001
402	14462*54978*001|14719*41580*001|14776*54164*001|15216*41350*001|15365*41977*001
4211	15262*60976*001
4714	15355*33147*001
905	14584*58620*001|14694*32400*001|14823*57375*001|14992*45052*001|15029*44556*001|15196*49850*001|15323*53424*001|15326*50109*001|15345*60520*001
1194	14627*39600*001|14745*72000*001|14824*41799*001|14847*71979*001|14855*29268*001|14898*71994*001|14959*71098*001|15079*44556*001
1697	14744*50400*001|14951*45118*001|15002*26618*001|15316*51857*001
2200	14866*57744*001|14927*35835*001|14933*45252*001|15001*71984*001|15048*71979*001|15195*68500*001|15316*67152*001|15335*41076*001
2703	14974*37324*001|15129*71994*001
3206	15063*35763*001|15093*31884*001|15318*39753*001
3709	15178*60848*001
403	14462*59232*001|14806*27952*001|14919*57105*001|14951*30396*001|15006*57814*001
4212	15262*69232*001|15335*26964*001
4715	15355*36679*001
906	14584*65304*001|14640*64800*001|14950*57242*001
1195	14627*43200*001|14776*29656*001|14969*48582*001|15077*38568*001
1698	14744*64800*001|14831*65943*001|15189*26066*001|15334*34461*001
2201	14866*61812*001
2704	14974*52912*001|15024*51936*001|15261*46000*001
3207	15063*41799*001|15151*48597*001|15325*53865*001|15325*60039*001|15336*52294*001
3710	15178*67532*001|15328*71064*001|15366*49500*001
404	14462*63486*001|14609*68646*001|14755*58620*001|14795*63728*001|14859*52500*001|15205*59840*001|15227*42750*001|15330*51660*001
4213	15263*30400*001|15314*32697*001
4716	15355*38445*001
907	14584*68646*001|14892*40800*001|14946*33147*001|15154*61359*001|15189*37324*001|15318*44163*001
1196	14627*46800*001|14830*70470*001|15344*45000*001
1699	14744*68400*001|14781*57105*001|14820*72000*001|14838*61416*001|14961*33147*001|14962*52046*001|15372*52200*001
2202	14866*63846*001|15245*67914*001|15334*34902*001
2705	14974*61572*001|15008*41910*001|15189*32128*001|15202*44252*001|15237*49608*001|15311*61803*001
3208	15063*44817*001|15085*43581*001|15351*35796*001
3711	15178*71988*001
405	14462*71994*001|14675*68646*001|14842*37272*001|15017*70317*001|15223*27150*001|15359*28732*001
4214	15263*48600*001
4717	15355*47275*001
908	14584*71988*001|14650*51200*001|14975*52912*001|14977*32290*001|14977*69158*001|15038*61416*001|15104*65304*001|15208*69400*001
1197	14627*54000*001|14656*38200*001|14775*58620*001|15036*62640*001|15313*50778*001|15360*71100*001
1700	14744*72000*001|14954*26066*001|14965*66768*001|15141*54978*001|15274*48600*001|15332*61803*001|15371*31381*001
2203	14867*36900*001|14966*43386*001|15053*44817*001|15307*39240*001|15320*31815*001|15332*37107*001
2706	14974*64170*001|15205*32994*001|15323*50337*001
3209	15063*52362*001
3712	15179*41580*001|15237*57744*001|15322*63567*001|15369*54339*001
406	14463*29454*001|14563*45255*001|14662*38200*001|14818*63728*001|15238*64200*001|15315*56511*001
4215	15263*53800*001
4718	15355*58754*001
909	14585*31884*001|14649*71997*001|14818*69232*001|14843*37272*001|14857*70050*001|14894*29454*001|14955*27798*001|14966*52912*001|14976*50807*001|14981*63728*001|15154*46470*001|15156*63486*001|15324*54747*001|15356*40500*001|15365*56988*001
1198	14627*68400*001|14648*59000*001|14665*49830*001|14726*36900*001|14934*65613*001|14960*63304*001|14968*54644*001|14993*60976*001|15091*55278*001|15289*29880*001|15320*58275*001|15334*36225*001
1701	14745*43200*001|14763*27428*001|14843*67452*001|14952*43386*001|15075*60686*001|15093*38568*001|15338*38430*001|15351*64052*001
2204	14867*46650*001|14960*32994*001|14971*46850*001|14981*58224*001|15127*35226*001
2707	14975*26932*001|15197*45984*001|15213*39056*001|15307*48600*001|15313*67095*001
3210	15063*53871*001|15183*47480*001
3713	15179*46260*001
407	14463*33708*001|14499*30400*001|14959*63304*001|14967*42520*001|14972*58974*001|15203*31262*001|15203*61572*001|15319*67095*001|15325*31374*001|15330*53865*001|15332*32697*001
4216	15263*72000*001|15321*70648*001|15330*59157*001|15396*68400*001
4719	15355*61403*001
910	14585*35226*001|14645*59000*001|14820*39825*001|14830*34254*001|14959*50314*001|15317*28728*001|15330*53424*001|15338*43722*001
1199	14627*72000*001|14880*50550*001|14903*42216*001|14974*32128*001|15214*41654*001|15367*36679*001
1702	14746*28542*001|14956*71964*001|15213*48582*001|15216*30300*001
2205	14867*62250*001|15110*39600*001|15319*68418*001
2708	14975*37324*001|15058*70470*001|15075*31652*001|15132*31581*001|15291*41580*001|15320*52101*001|15335*67536*001
3211	15063*58398*001|15248*42750*001|15322*26082*001
3714	15179*64980*001|15246*66150*001|15280*33456*001|15317*62244*001
408	14463*42216*001|14507*56400*001|14518*30400*001|14620*61200*001|14684*55278*001|14685*55278*001|14708*49708*001|14764*54164*001|14812*47216*001|14828*26662*001|14873*57744*001|14967*32128*001|15054*43308*001|15203*37324*001|15226*45540*001|15335*26082*001|15385*71988*001
4217	15264*36208*001|15320*39312*001
4720	15355*67584*001
911	14585*45252*001|14833*55380*001|15067*30213*001|15205*45118*001
1200	14628*32400*001|14854*64434*001|14919*27327*001|14986*56396*001|15029*67138*001|15366*36000*001|15366*50400*001
1703	14746*58620*001|14993*55472*001|15235*46650*001|15328*65772*001
2206	14867*66150*001|14969*71098*001|15040*35763*001|15108*43200*001|15228*55710*001
2709	14975*42520*001|14986*39380*001|15084*63912*001|15089*56949*001
3212	15064*58398*001|15185*36340*001|15311*26523*001|15321*39184*001
3715	15180*29656*001|15196*43900*001|15317*43722*001
409	14463*46470*001|14717*67320*001|14969*33860*001|15033*30213*001|15129*69867*001
4218	15265*56400*001|15367*56105*001
4721	15356*26100*001
912	14585*51936*001|14758*45252*001|14782*69760*001|14784*27428*001|14826*29727*001|15048*47835*001|15259*41712*001|15281*55620*001|15328*37989*001|15366*30600*001
1201	14628*36000*001|14664*33000*001|14728*46260*001|14849*44817*001|14946*41094*001|14986*59232*001|15316*46613*001|15317*66213*001|15330*33138*001|15359*57871*001
1704	14747*36000*001|14789*37962*001|14798*27952*001|15192*35400*001|15217*71964*001|15274*53800*001|15356*31500*001
2207	14868*36900*001|14960*67634*001|14962*43386*001|15180*34112*001|15331*65841*001
2710	14975*59840*001|15058*29727*001|15139*50724*001|15218*71098*001|15337*57834*001
3213	15064*70470*001|15312*26523*001
3716	15180*31884*001
410	14463*54978*001|14493*66800*001|14721*53280*001|14828*36896*001|14834*34254*001|14977*59232*001|15000*69158*001|15333*42399*001
4219	15265*59000*001|15331*37436*001
4722	15356*32400*001
913	14585*55278*001|14668*52293*001|14806*44464*001|14940*71988*001|14970*68500*001|14970*69366*001|15059*44817*001|15311*50337*001|15319*38871*001|15319*39312*001|15348*69300*001
1202	14628*39600*001|14647*71997*001|14762*55278*001|14766*37962*001|14792*60848*001|14964*28664*001|14995*67856*001|15096*65304*001
1705	14747*43200*001|14773*34112*001|14796*45675*001|15004*49306*001|15039*26709*001|15072*33555*001|15175*29656*001|15249*54450*001
2208	14868*60300*001|15110*46800*001|15220*61812*001
2711	14976*34913*001|15231*60300*001|15328*42399*001
3214	15065*43308*001|15074*30213*001|15328*49455*001
3717	15180*38568*001|15318*49896*001|15337*45045*001
411	14463*63486*001|14517*61600*001|14519*51940*001|14557*31885*001|14571*51940*001|14593*35226*001|14600*35226*001|14663*54756*001|14848*55380*001|14893*71994*001|15066*54840*001|15081*26871*001|15306*38568*001
4220	15265*66800*001
4723	15356*34200*001
914	14585*58620*001|14645*43400*001|14813*55472*001|14862*39438*001|14873*67914*001|14941*59232*001|14965*63304*001|14966*26066*001|14969*63304*001|15134*37962*001|15253*44464*001
1203	14628*43200*001|14774*29454*001|14832*47130*001|15170*51936*001|15177*72000*001|15209*55510*001|15245*63846*001|15319*44163*001|15328*53865*001|15333*35343*001
1706	14747*68400*001|14790*63076*001|14803*60976*001|14959*36458*001|14971*61572*001|15193*65036*001|15210*38190*001|15245*51642*001|15312*58275*001|15317*39753*001|15336*57538*001
2209	14868*62250*001|14958*67634*001|15173*38568*001|15314*41076*001
2712	14976*36679*001|15017*36897*001
3215	15065*49344*001|15232*69948*001|15278*46000*001
3718	15180*43024*001|15353*34913*001
412	14463*67740*001|14492*56400*001|14618*32400*001|14705*39240*001|14787*56392*001|14828*41282*001|14832*28124*001|15012*65304*001|15057*62925*001|15059*67452*001|15204*51550*001|15235*60300*001|15326*69774*001
4221	15265*69400*001|15313*60921*001
4724	15356*39600*001
915	14586*28542*001|14779*47480*001|14828*31048*001|14944*65613*001|15047*61416*001|15200*65150*001|15322*37548*001
1204	14628*46800*001|14772*67532*001|14869*58350*001|14959*58974*001|15201*55510*001|15339*49014*001
1707	14748*38568*001|14776*47480*001|14947*51180*001|15197*47716*001|15325*59598*001|15332*71064*001
2210	14868*68100*001|14956*29530*001|15292*40796*001|15324*60480*001|15353*40211*001
2713	14976*37562*001|15060*61416*001|15119*28800*001|15322*49896*001|15378*48594*001
3216	15065*58398*001
3719	15180*56392*001|15208*58350*001
413	14463*71994*001|14494*46000*001|14651*53800*001|14717*53280*001|14864*42750*001|15023*55278*001|15067*70317*001|15157*63486*001|15171*67532*001|15313*28728*001|15328*66654*001|15329*66654*001|15353*42860*001
4222	15266*38960*001
4725	15356*42300*001
916	14586*31884*001|14704*67532*001|14883*46650*001|14939*67740*001|15344*72000*001|15373*46800*001
1205	14628*54000*001|14663*71997*001|14701*43200*001|15032*46169*001|15047*28218*001|15057*40290*001|15353*36679*001
1708	14748*45252*001|14764*34112*001|14976*63169*001|15240*50550*001|15339*59157*001|15357*54339*001
2211	14868*70050*001|14935*63076*001|15009*66975*001|15074*66975*001|15235*36900*001|15237*67914*001|15246*38850*001|15338*30933*001
2714	14976*40211*001|15020*66975*001|15380*55278*001
3217	15066*40800*001|15327*53865*001|15328*34461*001|15340*34902*001
3720	15181*39240*001
414	14464*29880*001|14667*72000*001|14699*71988*001|14777*34112*001|14953*34726*001|14967*55510*001|15016*70317*001|15048*37272*001|15178*34112*001
4223	15266*44464*001|15311*71064*001
4726	15356*63000*001
917	14586*41910*001|14693*41910*001|14715*51936*001|14934*31581*001|14960*42520*001|15022*53607*001|15074*35226*001
1206	14628*57600*001|14663*42441*001|14668*62145*001|14771*67532*001|14797*47216*001|15210*57242*001|15217*28664*001|15314*26523*001
1709	14748*71988*001|14766*69867*001|14932*65613*001|14959*69366*001|14972*37324*001|15009*70317*001|15205*33860*001|15319*42399*001
2212	14869*38850*001|14942*48597*001|14952*65036*001|15379*61200*001
2715	14976*45509*001|15319*64008*001|15326*67152*001|15370*31500*001
3218	15066*68880*001|15333*65772*001|15350*56700*001|15393*51936*001
3721	15181*41580*001|15362*71100*001
415	14464*39240*001|14498*40800*001|14950*51180*001|15067*43581*001|15173*56392*001|15312*29610*001
4224	15266*55472*001
4727	15356*71100*001
918	14586*45252*001|14640*28800*001|14852*26709*001|14885*29454*001|14942*33708*001|15194*61572*001|15212*61750*001|15216*27750*001|15335*27405*001|15346*61200*001
1207	14628*64800*001|14789*71994*001|14946*27849*001|14957*54644*001|15095*43581*001|15197*69366*001
1710	14749*39600*001|14934*61359*001|15318*46368*001
2213	14869*40800*001|15042*35763*001|15068*51936*001|15358*69300*001
2716	14976*46392*001|14988*28036*001|15013*31884*001|15021*63912*001|15063*70470*001|15317*42840*001
3219	15066*72000*001|15243*59778*001|15268*63728*001|15316*39621*001|15327*38871*001|15352*57600*001|15367*28732*001|15373*43200*001
3722	15181*43920*001
416	14464*57960*001|14515*46000*001|14526*71995*001|14719*43920*001|14946*57871*001|14989*37584*001|15073*55278*001|15183*51936*001|15218*37324*001|15319*65331*001
4225	15267*38200*001|15321*64530*001
4728	15357*30498*001
919	14586*48594*001|14659*30400*001|14717*55620*001|14853*29727*001
1208	14628*68400*001|14684*71988*001|14865*29100*001|14941*46470*001|14944*40089*001|15198*50314*001|15218*48582*001|15304*63076*001
1711	14750*28800*001|14773*45252*001|14841*33972*001|14858*27234*001|15320*28728*001|15362*45900*001
2214	14869*44700*001|15040*65943*001|15194*29530*001|15209*34726*001|15316*33940*001|15316*54042*001|15319*45045*001
2717	14976*48158*001|15005*54096*001|15053*46326*001|15060*40290*001|15089*61962*001|15197*51180*001|15313*41076*001
3220	15067*72000*001|15200*45600*001
3723	15181*55620*001|15220*31302*001|15294*69760*001
417	14464*67320*001|14608*58620*001|14659*51200*001|14704*58620*001|14982*59232*001|15088*36491*001
4226	15267*40800*001|15313*47250*001
4729	15357*34913*001
920	14586*55278*001|14725*63076*001|14778*29454*001|14803*63728*001|14822*52720*001|14975*27798*001|15043*52362*001|15077*50265*001|15214*58974*001|15354*54000*001|15370*37800*001
1209	14628*72000*001|14695*51936*001|14795*36208*001|14813*52720*001|14892*64200*001|14949*70232*001|14958*37324*001|14964*70232*001|15209*45984*001|15330*34902*001|15332*52983*001|15378*65304*001
1712	14750*43200*001|14873*59778*001|14916*45252*001|14921*57105*001|15025*71977*001|15172*67320*001|15216*54950*001|15224*57744*001|15289*36900*001|15323*33579*001
2215	14869*62250*001|15017*58620*001|15080*68646*001|15208*67700*001|15311*64008*001|15319*33138*001
2718	14976*54339*001|15053*32745*001|15141*48597*001|15222*31302*001|15391*28800*001
3221	15067*50265*001|15394*50400*001
3724	15181*57960*001|15214*51180*001
418	14464*72000*001|14499*46000*001|14574*38570*001|14609*61962*001|14659*61600*001|14771*27428*001|15242*52500*001|15279*30704*001
4227	15267*53800*001|15338*61362*001
4730	15357*43743*001
921	14586*58620*001|14841*31048*001|14982*54978*001|15205*26066*001|15309*48600*001
1210	14629*28800*001|14731*27540*001|15118*41910*001|15121*68400*001|15217*47716*001|15222*27234*001
1713	14750*61200*001|14843*26709*001|14879*42750*001|14952*33860*001|15127*28542*001|15198*33860*001
2216	14869*68100*001|14943*65304*001|14979*38960*001|15011*33265*001|15084*41330*001
2719	14976*58754*001|14982*64904*001|14986*69158*001|15071*47782*001|15089*65304*001|15194*50314*001|15209*46850*001|15318*37548*001|15327*69300*001|15338*37548*001
3222	15067*55278*001
3725	15181*62640*001|15202*64170*001
419	14465*29454*001|14501*46000*001|14650*64200*001|14712*72000*001|15027*46923*001|15204*41350*001|15347*45509*001
4228	15267*59000*001|15307*36900*001
4731	15357*46392*001
922	14586*65304*001|14633*43200*001|14645*30400*001|14710*32220*001|14742*68400*001|14828*52978*001|14871*36900*001
1211	14629*32400*001|14764*47480*001|15037*59907*001|15207*40788*001|15339*60921*001
1714	14750*64800*001|14800*33456*001|14997*52720*001|15278*59000*001|15340*62244*001|15361*47275*001
2217	14870*27234*001|14962*51180*001|14995*33456*001|15140*40089*001|15372*35100*001
2720	14976*61403*001|15014*31884*001|15130*71994*001|15189*48582*001|15216*61750*001|15290*69760*001
3223	15067*65304*001|15161*54164*001|15180*45252*001|15184*36900*001|15217*68500*001|15318*41076*001|15321*58412*001|15325*39312*001|15347*67584*001
3726	15181*67320*001
420	14465*33708*001|14836*34254*001|15316*61908*001|15328*41958*001|15365*58754*001
4229	15268*36208*001|15315*66213*001|15329*46809*001|15349*54339*001|15358*52200*001
4732	15357*48158*001
923	14586*71988*001|14614*68400*001|14958*58108*001|15316*62345*001|15323*65331*001
1212	14629*36000*001|14664*61600*001|14707*72000*001|14713*27428*001|15003*34832*001
1715	14751*28542*001|14801*71984*001|15024*30213*001|15094*71988*001|15208*70250*001|15215*37324*001|15330*52101*001|15333*68859*001|15386*54000*001
2218	14870*29268*001|15207*65036*001|15240*33000*001|15326*71522*001|15337*28287*001|15359*71116*001|15393*65304*001
2721	14976*62286*001|15202*54644*001
3224	15067*71988*001|15287*29656*001|15317*25641*001|15350*54900*001
3727	15181*69660*001|15338*50778*001
421	14465*42216*001|14509*30400*001|14651*46000*001|14667*59000*001|14740*72000*001|14829*41799*001|14833*26709*001|14960*53778*001|15167*57960*001|15206*30396*001|15303*27540*001|15338*28287*001|15358*29700*001
4230	15268*44464*001|15321*37873*001|15327*49896*001|15332*67977*001
4733	15357*61403*001
924	14587*28542*001|14663*59682*001|14763*34112*001|14850*26662*001|14867*60300*001|14869*60300*001
1213	14629*46800*001|14840*65943*001|14868*56400*001|15047*46326*001|15073*45252*001|15111*65304*001
1716	14751*61962*001|15043*68961*001|15315*52101*001|15329*40635*001
2219	14870*57744*001|14926*71994*001|14964*61572*001|15116*36000*001|15126*55278*001|15171*27428*001|15181*36900*001|15212*54100*001
2722	14976*71999*001|14997*60976*001
3225	15068*48594*001|15162*62640*001|15312*68859*001
3728	15182*27428*001
422	14465*50724*001|14505*61600*001|14626*43200*001|14686*28800*001|14699*35226*001|14716*67320*001|14776*58620*001|14836*40290*001|14876*50550*001|14903*67740*001|14942*27327*001|14951*58974*001|15133*65880*001|15342*59400*001
4231	15268*47216*001|15314*30933*001|15332*25641*001
4734	15358*30600*001
925	14587*31884*001|14695*48594*001|14705*69660*001|14774*40089*001|15032*31652*001|15194*28664*001|15211*52046*001|15315*36666*001|15328*69300*001|15340*52101*001
1214	14629*64800*001|14682*28800*001|14961*31381*001|15024*56949*001|15145*50724*001|15193*61572*001|15206*31262*001|15247*61812*001|15320*57393*001
1717	14751*68646*001|14859*64200*001|15249*27150*001
2220	14870*63846*001|14954*36458*001|14976*53456*001|15325*37548*001
2723	14977*72000*001|15108*32400*001|15206*26932*001
3226	15068*60291*001|15337*51219*001
3729	15182*40796*001
423	14465*54978*001|14675*41910*001|14822*69232*001|15017*68646*001|15067*46923*001|15206*39922*001|15215*29530*001|15225*50550*001|15353*65818*001|15359*30498*001
4232	15268*52720*001|15317*46368*001
4735	15358*32400*001
926	14587*35226*001|14647*44904*001|14665*67071*001|14729*29656*001|14966*44252*001|15081*45252*001|15113*41910*001|15199*26932*001|15208*68550*001|15253*33456*001|15339*65772*001|15368*70200*001
1215	14630*28800*001|15064*40290*001
1718	14752*39600*001|14841*42744*001|14843*47835*001|14916*27428*001|15063*38781*001
2221	14870*67914*001|14963*35592*001|15212*68550*001|15286*41580*001|15361*67584*001
2724	14977*26618*001|15324*47691*001
3227	15068*63633*001|15203*52046*001|15351*45509*001
3730	15182*49708*001|15229*42750*001|15336*40058*001|15342*48600*001
4233	15268*55472*001
424	14465*67740*001|14512*72000*001|14607*51936*001|14879*48600*001|14902*42216*001|14966*29530*001|15083*70317*001|15226*51642*001|15395*31884*001
4736	15358*36900*001
